Subject,Predicate,Object
:PAINTING11,rdf:type,dbo:Painting
:PAINTING11,dcterms:creator,:PERSON3948
:PAINTING11,edm:isHeldBy,:ORGANIZATION11
:PAINTING11,dcterms:PhysicalMedium,:MEDIUM2
:PAINTING11,cidoc:P43 has dimension,:DIMENSION2
:PAINTING11,cidoc:P16 was used for,:ACTIVITY1
:PAINTING11,dcterms:identifier,"""NG6294""^^xsd:string"
:LEGENDARY_CREATURE1,rdf:type,:LEGENDARY_CREATURES
:PAINTING11,cidoc:P62 depicts,:LEGENDARY_CREATURE1
:BUILDING1,schema:location,"""Trafalgar Square, London, WC2N 5DN, United Kingdom""^^xsd:string"
:PAINTING11,dbo:basedOn,:TITLE8
:PERSON3948,dcterms:identifier,VIAF: 39395712
:PERSON3948,schema:birthDate,"""1397/06/15""^^xsd:string"
:PERSON3948,schema:deathDate,"""1475-12-10""^^xsd:date"
:PERSON3948,owl:sameAs,:PERSON4
:PERSON3948,edm:hasMet,:CITY2
:ORGANIZATION11,dcterms:identifier,VIAF:144868906
:ORGANIZATION11,schema:foundingDate,"""1824""^^xsd:string"
:MAP1,rdf:type,aat:300028702 (Manuscript Map)
:MAP1,cidoc:P102 has title,:TITLE10
:MAP1,dcterms:provenance,:CITY1
:MAP1,edm:isHeldBy,:ORGANIZATION3
:MAP1,prov:wasAttributedTo,:PERSON11
:MAP1,schema:alternateName,"""Hereford mappa mundi""^^xsd:string"
::CREATURESGROUP1,rdf:type,:LEGENDARY_CREATURES
:MAP1,cidoc:P129 is about,::CREATURESGROUP1
:PERSON3948,rdf:type,cidoc:E21 Person
:PERSON3948,cidoc:P106 is a type of,:OCCUPATION11
:ORGANIZATION11,schema:founder,:FOUNDER3
:BUILDING1,schema:architect,:DESIGNER1
:PERSON11,owl:sameAs,:PERSON31
:PERSON11,dcterms:identifier,VIAF:298515650
:PERSON11,schema:birthDate,"""1276""^^xsd:date"
:PERSON11,schema:deathDate,"""1312""^^xsd:date"
:ORGANIZATION3,cidoc: P74 has current or former residence,:BUILDING2
:MOVIE1,rdf:type,schema:Movie
:EXPRESSION44,cidoc:P102 has title,:TITLE11
:MOVIE1,fo:hasDirector,:PERSON8
:ITEM1,dcterms:issued,"""2010""^^xsd:date"
:MANIFESTATION2,dcterms:coverage,:COUNTRY11
:MANIFESTATION2,schema:publisher,:PUBLISHER1
:LEGENDARY_CREATURE2,rdf:type,:LEGENDARY_CREATURES
:MOVIE1,cidoc:P129 is about,:LEGENDARY_CREATURE2
:MANIFESTATION2,dcterms:format,"""video/dvd""^^xsd:string"
:MANIFESTATION2,fo:duration,:DURATION1
:ITEM1,cidoc:P43 has dimension,:DIMENSION3
:MANIFESTATION2,dcterms:issued,"""2003""^^xsd:date"
:EXPRESSION44,lrmoo:R4,:MANIFESTATION2
:MANIFESTATION2,lrmoo:R7,:ITEM1
:MOVIE1,lrmoo:R3,:EXPRESSION3
:MOVIE1,fo:hasCast,:GROUP1
:EXPRESSION3,schema:inLanguage,:LANGUAGE1
:ITEM1,edm:isHeldBy,:ORGANIZATION32
:MANIFESTATION2,schema:productID,"""8019824918844""^^xsd:string"
:MOVIE1,fo:hasGenre,:GENRE1
:PERSON8,schema:birthPlace,:CITY4
:PERSON8,schema:birthDate,"""1888-12-28""^^xsd:date"
:PERSON8,schema:deathDate,"""1931-11-3""^^xsd:date"
:MOVIE1,wikidata:P495 (Country of Origin),:COUNTRY2
:PERSON3,foaf:member,:GROUP1
:PERSON7,foaf:member,:GROUP1
:PERSON6,foaf:member,:GROUP1
:ORGANIZATION11,dcterms:location,:BUILDING1
:PUBLISHER1,schema:founder,:COLLECTIVE_AGENT1
:FOUNDER1,foaf:member,:COLLECTIVE_AGENT1
:FOUNDER2,foaf:member,:COLLECTIVE_AGENT1
:PUBLISHER1,cidoc:P74 has current or former residence,:CITY3
:MOVIE1,rdf:type,lrmoo:F1 Work
:MOVIE1,lrmoo:R3,:EXPRESSION44
:EXPRESSION3,cidoc:P102 has title,:TITLE2
:TITLE2,rdf:type,cidoc:E35 Title
:TITLE2,rdfs:label,"""Nosferatu: eine Symphonie des Grauens""^^xsd:string"
:PAINTING11,cidoc:P102 has title,:TITLE7
:TITLE7,rdf:type,cidoc:E35 Title
:TITLE7,rdfs:label,"""Saint George and the Dragon""^^xsd:string"
:LANGUAGE1,rdf:type,schema:Language
:PERSON8,dcterms:identifier,VIAF:12312928
:LANGUAGE1,foaf:name,"""German""^^xsd:string"
:LEGENDARY_CREATURE1,rdfs:label,"""Dragon""^^xsd:string"
:TITLE10,rdf:type,cidoc:E35 Title
:TITLE10,rdfs:label,"""Descriptio Orosii de ornesta mundi sicut interius Ostenditur""^^xsd:string"
:COUNTRY2,foaf:name,"""Germany""^^xsd:string"
:DIMENSION3,rdf:type,cidoc:E54 Dimension
:DIMENSION3,cidoc:P90 has value,"""19""^^xsd:integer"
:DIMENSION3,cidoc:P91 has unit,"""cm""^^xsd:string"
:TITLE11,rdfs:label,"""Nosferatu: il vampiro""^^xsd:string"
:CITY3,foaf:name,"""Paris""^^xsd:string"
:FOUNDER2,foaf:name,"""Gianni Salvioni""^^xsd:string"
:FOUNDER1,foaf:name,"""Nicola Raffaele Di Matteo ""^^xsd:string"
:DESIGNER1,foaf:name,"""William Wilkins""^^xsd:string"
:FOUNDER3,foaf:name,"""Sir George Beaumont, 7th Baronet""^^xsd:string"
:BUILDING1,rdfs:label,"""The National Gallery""^^xsd:string"
:CITY2,foaf:name,"""Florence""^^xsd:string"
:PERSON4,foaf:name,"""Paolo Doni""^^xsd:string"
:PERSON4,rdf:type,cidoc:E21 Person
:TITLE8,rdf:type,lrmoo:F1 Work
:TITLE8,cidoc:P1 is identified by,:APPELLATION3
:APPELLATION3,rdfs:label,"""Legend of St. George and the Dragon""^^xsd:string"
:PUBLISHER1,schema:foundingDate,"""1988""^^xsd:date"
:COUNTRY11,foaf:name,"""Italia""^^xsd:string"
:DURATION1,rdfs:label,"""61min""^^xsd:string"
:DURATION1,rdf:type,schema:Duration
:COUNTRY11,rdf:type,schema:Country
:ORGANIZATION11,foaf:name,"""The National Gallery""^^xsd:string"
:DESIGNER1,rdf:type,edm:Agent
:CITY4,foaf:name,"""Bielefeld""^^xsd:string"
:BUILDING2,cidoc:P1 is identified by,:APPELLATION2
:APPELLATION2,rdfs:label,"""Hereford Cathedral""^^xsd:string"
:PERSON6,foaf:name,"""Max Schreck ""^^xsd:string"
:PERSON7,foaf:name,"""Gustav von Wangenheim""^^xsd:string"
:PERSON3,foaf:name,"""Greta Schroeder""^^xsd:string"
:PUBLISHER1,foaf:name,"""Ermitage""^^xsd:string"
:COLLECTIVE_AGENT1,rdf:type,lrmoo:F55 Collective Agent
:FOUNDER2,rdf:type,cidoc:E21 Person
:FOUNDER1,rdf:type,cidoc:E21 Person
:PERSON8,rdf:type,cidoc:E21 Person
:ORGANIZATION32,cidoc:P1 is identified by,:APPELLATION27
:APPELLATION27,rdfs:label,"""Biblioteca comunale di Castenaso 'Casa Bondi'""^^xsd:string"
:CITY3,rdf:type,schema:Place
:CITY4,rdf:type,schema:Place
:EXPRESSION44,rdf:type,lrmoo:F2 Expression
:MANIFESTATION2,rdf:type,lrmoo:F3 Manifestation
:ITEM1,rdf:type,lrmoo:F5 Item
:EXPRESSION3,rdf:type,lrmoo:F2 Expression
:COUNTRY2,rdf:type,schema:Country
:FOUNDER3,rdf:type,cidoc:E21 Person
:ORGANIZATION11,rdf:type,cidoc:E39 Actor
:LEGENDARY_CREATURE2,rdf:type,cidoc:E28 Conceptual Object
:ORGANIZATION32,rdf:type,cidoc:E39 Actor
:APPELLATION27,rdf:type,cidoc:E41 Appllation
:TITLE11,rdf:type,cidoc:E35 Title
:GENRE1,rdfs:label,"""Horror""^^xsd:string"
:GENRE1,rdf:type,fo:Genre
:MEDIUM2,rdfs:label,"""Oil on Canvas""^^xsd:string"
:BUILDING1,rdf:type,dbo:Building
:BUILDING2,rdf:type,dbo:Building
:DIMENSION2,rdf:type,cidoc:E54 Dimension
:DIMENSION2,cidoc:P90 has value,"""55.6×74.2""^^xsd:string"
