Item;Type;Provider;Metadata Standard used by the provider;Metadata standard we chose
The Witcher 3: Wild Hunt;Video game;OPAC SBN;ISBD;ISBD
Bomarzo Gardens;Monument;Wikidata;Wikibase;Wikibase
Kraken-Migof;Sculpture;Museum Reinhard Ernst;/;CIDOC CRM
Monstrorum Historia;Book;SBN UBO;ISBD/UNIMARC;ISBD/UNIMARC
San Giorgio e il drago;Painting;The National Gallery;/;CIDOC CRM
Hereford Mappa Mundi;Map;Museo Galileo;ISBD;ISBD
Cryptid;Board Game;OPAC SBN;ISBD/UNIMARC;ISBD/UNIMARC
The Firebird;Ballet;Europeana;EDM;EDM
Kuwana: the Story of the Sailor Tokuzo;Print;Chazen Museum of Art;/;CIDOC CRM
