subject,Predicate,Object
:PU_PAINTING,rdf:type,dbo:Painting
:PU_PAINTING,dcterms:creator,:TITLE9
:PU_PAINTING,edm:isHeldBy,:ORGANIZATION
:PU_PAINTING,dcterms:PhysicalMedium,:MEDIUM2
:PU_PAINTING,cidoc:P43 has dimension,:DIMENSION2
:PU_PAINTING,cidoc:P16 was used for,:ACTIVITY
:PU_PAINTING,dcterms:identifier,"""NG6294""^^xsd:string"
:LEGENDARY_CREATURE,rdf:type,Legendary Creatures
:PU_PAINTING,cidoc:P62 depicts,:LEGENDARY_CREATURE
:BUILDING,schema:location,"""Trafalgar Square, London, WC2N 5DN, United Kingdom""^^xsd:string"
:PU_PAINTING,dbo:basedOn,:TITLE8
:TITLE9,dcterms:identifier,"""VIAF: 39395712""^^xsd:string"
:TITLE9,schema:birthDate,"""1397/06/15""^^xsd:string"
:TITLE9,schema:deathDate,"""1475/12/10""^^xsd:date"
:TITLE9,owl:sameAs,:PERSON4
:TITLE9,edm:hasMet,:CITY2
:ORGANIZATION,dcterms:identifier,"""VIAF:144868906""^^xsd:string"
:ORGANIZATION,schema:foundingDate,"""1824""^^xsd:string"
:H_MAP,rdf:type,aat:300028702 (Manuscript Map)
:H_MAP,cidoc:P102 has title,:TITLE10
:H_MAP,dcterms:provenance,:CITY
:H_MAP,"edm:isHeldBy
          ",:ORGANIZATION3
:H_MAP,prov:wasAttributedTo,:PERSON11
:H_MAP,schema:alternateName,"""Hereford mappa mundi""^^xsd:string"
::CREATURESGROUP1,rdf:type,Legendary Creatures
:H_MAP,cidoc:P129 is about,::CREATURESGROUP1
:TITLE9,rdf:type,cidoc:E21 Person
:TITLE9,cidoc:P106 is a type of,:OCCUPATION
:ORGANIZATION,schema:founder,:FOUNDER3
:BUILDING,schema:architect,:DESIGNER
:PERSON11,owl:sameAs,:PERSON
:PERSON11,dcterms:identifier,"""VIAF:298515650""^^xsd:string"
:PERSON11,schema:birthDate,""" 1276""^^xsd:date"
:PERSON11,schema:deathDate,"""1312""^^xsd:date"
:ORGANIZATION3,cidoc: P74 has current or former residence,:BUILDING2
:NOS,rdf:type,schema:Movie
:expression4,cidoc:P102 has title,:TITLE
:NOS,fo:hasDirector,:PERSON8
:ITEM,dcterms:issued,"""2010""^^xsd:date"
:MANIFESTATION2,dcterms:coverage,:COUNTRY
:MANIFESTATION2,schema:publisher,:PUBLISHER
:LEGENDARY_CREATURE,rdf:type,Legendary Creatures
:NOS,cidoc:P129 is about,:LEGENDARY_CREATURE
:MANIFESTATION2,dcterms:format,"""video/dvd""^^xsd:string"
:MANIFESTATION2,fo:duration,:DURATION1
:ITEM,cidoc:P43 has dimension,:DIMENSION3
:MANIFESTATION2,dcterms:issued,"""2003""^^xsd:date"
:expression4,lrmoo:R4,:MANIFESTATION2
:MANIFESTATION2,lrmoo:R7,:ITEM
:NOS,lrmoo:R3,:EXPRESSION3
:NOS,fo:hasCast,:GROUP1
:EXPRESSION3,schema:inLanguage,:LANGUAGE
:ITEM,edm:isHeldBy,:ORGANIZATION3
:MANIFESTATION2,schema:productID,"""8019824918844""^^xsd:string"
:NOS,fo:hasGenre,:GENRE
:PERSON8,schema:birthPlace,:CITY4
:PERSON8,schema:birthDate,""" 1888/12/28""^^xsd:date"
:PERSON8,schema:deathDate,"""1931/11/3""^^xsd:date"
:NOS,wikidata:P495 (Country of Origin),:COUNTRY2
:PERSON3,foaf:member,:GROUP1
:PERSON7,foaf:member,:GROUP1
:PERSON6,foaf:member,:GROUP1
:ORGANIZATION,dcterms:location,:BUILDING
:PUBLISHER,schema:founder,:COLLECTIVE_AGENT
:FOUNDER,foaf:member,:COLLECTIVE_AGENT
:FOUNDER2,foaf:member,:COLLECTIVE_AGENT
:PUBLISHER,cidoc:P74 has current or former residence,:CITY3
:NOS,rdf:type,lrmoo:F1 Work
:NOS,lrmoo:R3,:expression4
:EXPRESSION3,cidoc:P102 has title,:TITLE2
:TITLE2,rdf:type,cidoc:E35 Title
:TITLE2,rdfs:label,"""Nosferatu: eine Symphonie des Grauens""^^xsd:string"
:PU_PAINTING,cidoc:P102 has title,:TITLE7
:TITLE7,rdf:type,cidoc:E35 Title
:TITLE7,rdfs:label,"""Saint George and the Dragon""^^xsd:string"
:LANGUAGE,rdf:type,schema:Language
:PERSON8,dcterms:identifier,"""VIAF:12312928""^^xsd:string"
:LANGUAGE,foaf:name,"""German""^^xsd:string"
:LEGENDARY_CREATURE,rdfs:label,"""Dragon""^^xsd:string"
:TITLE10,rdf:type,cidoc:E35 Title
:TITLE10,rdfs:label,"""Descriptio Orosii de ornesta mundi sicut interius Ostenditur""^^xsd:string"
:COUNTRY2,foaf:name,"""Germany""^^xsd:string"
:DIMENSION3,rdf:type,cidoc:E54 Dimension
:DIMENSION3,cidoc:P90 has value,"""19""^^xsd:integer"
:DIMENSION3,cidoc:P91 has unit,"""cm""^^xsd:string"
:TITLE,rdfs:label,"""Nosferatu: il vampiro""^^xsd:string"
:CITY3,foaf:name,"""Paris""^^xsd:string"
:FOUNDER2,foaf:name,"""Gianni Salvioni""^^xsd:string"
:FOUNDER,foaf:name,"""Nicola Raffaele Di Matteo ""^^xsd:string"
:DESIGNER,foaf:name,"""William Wilkins""^^xsd:string"
:FOUNDER3,foaf:name,"""Sir George Beaumont, 7th Baronet""^^xsd:string"
:BUILDING,rdfs:label,"""The National Gallery""^^xsd:string"
:CITY2,foaf:name,"""Florence""^^xsd:string"
:PERSON4,foaf:name,"""Paolo Doni""^^xsd:string"
:PERSON4,rdf:type,cidoc:E21 Person
:TITLE8,rdf:type,lrmoo:F1 Work
:TITLE8,cidoc:P1 is identified by,:APPELLATION3
:APPELLATION3,rdfs:label,"""Legend of St. George and the Dragon""^^xsd:string"
:PUBLISHER,schema:foundingDate,"""1988""^^xsd:date"
:COUNTRY,foaf:name,"""Italia""^^xsd:string"
:DURATION1,rdfs:label,"""61min""^^xsd:string"
:DURATION1,rdf:type,schema:Duration
:COUNTRY,rdf:type,schema:Country
:ORGANIZATION,foaf:name,"""The National Gallery""^^xsd:string"
:DESIGNER,rdf:type,edm:Agent
:CITY4,foaf:name,"""Bielefeld""^^xsd:string"
:BUILDING2,cidoc:P1 is identified by,:APPELLATION2
:APPELLATION2,rdfs:label,"""Hereford Cathedral""^^xsd:string"
:PERSON6,foaf:name,"""Max Schreck ""^^xsd:string"
:PERSON7,foaf:name,"""Gustav von Wangenheim""^^xsd:string"
:PERSON3,foaf:name,"""Greta Schroeder""^^xsd:string"
:PUBLISHER,foaf:name,"""Ermitage""^^xsd:string"
:COLLECTIVE_AGENT,rdf:type,lrmoo:F55 Collective Agent
:FOUNDER2,rdf:type,cidoc:E21 Person
:FOUNDER,rdf:type,cidoc:E21 Person
:PERSON8,rdf:type,cidoc:E21 Person
:ORGANIZATION3,cidoc:P1 is identified by,:APPELLATION
:APPELLATION,rdfs:label,"""Biblioteca comunale di Castenaso 'Casa Bondi'""^^xsd:string"
:CITY3,rdf:type,schema:Place
:CITY4,rdf:type,schema:Place
:expression4,rdf:type,lrmoo:F2 Expression
:MANIFESTATION2,rdf:type,lrmoo:F3 Manifestation
:ITEM,rdf:type,lrmoo:F5 Item
:EXPRESSION3,rdf:type,lrmoo:F2 Expression
:COUNTRY2,rdf:type,schema:Country
:FOUNDER3,rdf:type,cidoc:E21 Person
:ORGANIZATION,rdf:type,cidoc:E39 Actor
:LEGENDARY_CREATURE,rdf:type,cidoc:E28 Conceptual Object
:ORGANIZATION3,rdf:type,cidoc:E39 Actor
:APPELLATION,rdf:type,cidoc:E41 Appllation
:TITLE,rdf:type,cidoc:E35 Title
:GENRE,rdfs:label,"""Horror""^^xsd:string"
:GENRE,rdf:type,fo:Genre
:MEDIUM2,rdfs:label,"""Oil on Canvas""^^xsd:string"
:BUILDING,rdf:type,dbo:Building
:BUILDING2,rdf:type,dbo:Building
:DIMENSION2,rdf:type,cidoc:E54 Dimension
:DIMENSION2,cidoc:P90 has value,"""55.6 × 74.2""^^xsd:float"
:DIMENSION2,cidoc:P91 has unit,"""cm""^^xsd:string"
:GROUP1,rdf:type,cidoc:E74 Group
:PU_PAINTING,cidoc:P94 was created by ,:CREATION6
:CREATION6,rdf:type,cidoc:E65 Creation
:CREATION6,cidoc: P4 has time-span,:TIMESPAN5
:TIMESPAN5,rdf:type,cidoc:E52 Time-Span
:TIMESPAN5,cidoc:P81 ongoing throughout,:TIMEPRIMITIVE5
:TIMEPRIMITIVE5,rdf:type,cidoc:E61 Time Primitive
:TIMEPRIMITIVE5,rdfs:label,"""1470""^^xsd:date"
:NOS,cidoc:P94 was created by ,:CREATION2
:CREATION2,rdf:type,cidoc:E65 Creation
:CREATION2,cidoc: P4 has time-span,:TIMESPAN
:TIMESPAN,rdf:type,cidoc:E52 Time-Span
:TIMESPAN,cidoc:P81 ongoing throughout,:TIMEPRIMITIVE4
:TIMEPRIMITIVE4,rdf:type,cidoc:E61 Time Primitive
:TIMEPRIMITIVE4,rdfs:label,"""1922""^^xsd:date"
:CITY2,rdf:type,schema:Place
:OCCUPATION,rdfs:label,"""Painter""^^xsd:string"
:OCCUPATION,rdf:type,cidoc:E55 Type
:ACTIVITY,cidoc: P20 had specific purpose,:ACQUISITION
:ACTIVITY,rdf:type,cidoc:E7 Activity
:ACQUISITION,rdf:type,cidoc:E8 Acquisition
:ACQUISITION,cidoc: P4 has time-span,:TIMESPAN2
:TIMESPAN2,rdf:type,cidoc:E52 Time-Span
:TIMESPAN2,cidoc:P81 ongoing throughout,:TIMEPRIMITIVE
:TIMEPRIMITIVE,rdf:type,cidoc:E61 Time Primitive
:TIMEPRIMITIVE,rdfs:label,"""1959""^^xsd:date"
:ORGANIZATION3,schema:foundingDate,"""696""^^xsd:date"
:H_MAP,cidoc:P94 was created by ,:CREATION
:CREATION,rdf:type,cidoc:E65 Creation
:CREATION,cidoc: P4 has time-span,:TIMESPAN3
:TIMESPAN3,rdf:type,cidoc:E52 Time-Span
:TIMESPAN3,cidoc:P81 ongoing throughout,:TIMEPRIMITIVE3
:TIMEPRIMITIVE3,rdf:type,cidoc:E61 Time Primitive
:TIMEPRIMITIVE3,rdfs:label,"""1300""^^xsd:date"
:CITY,rdfs:label,"""Hereford (Wales, United Kingdom)""^^xsd:string"
:CITY,rdf:type,schema:Place
:H_MAP,dcterms:PyhsicalMedium,:MEDIUM
:MEDIUM,rdfs:label,"""pen and ink on parchment""^^xsd:string"
:PERSON8,foaf:name,"""Friedrich W. Murnau""^^xsd:string"
:PERSON11,foaf:name,"""Richard of Haldingham and Lafford""^^xsd:string"
:PERSON,foaf:name,"""Ricardus de Bello""^^xsd:string"
:PERSON,dcterms:identifier,"""VIAF:298515650""^^xsd:string"
:PERSON4,dcterms:identifier,"""VIAF: 39395712""^^xsd:string"
:SPATIAL_INFORMATION,geo:has centroid,:POINT
:POINT,rdf:type,dcterms:Point
:POINT,foaf:name,"""Jerusalem""^^xsd:string"
:H_MAP,cidoc:P165 incorporates,:SPATIAL_INFORMATION
:SPATIAL_INFORMATION,rdf:type,cidoc:E73 Information Object
:SPATIAL_INFORMATION,dcterms:description,"""East Orientation""^^xsd:string"
:MEDIUM,rdf:type,dcterms:PhysicalMedium
:MEDIUM2,rdf:type,dcterms:PhysicalMedium
:CREATURESGROUP3,rdf:type,cidoc:E28 Conceptual Object
:MONUMENT,cidoc: P129 is about,:CREATURESGROUP3
:MONUMENT,rdf:type,cidoc:Physical Human-Made Thing
