Property/Element;Dublin Core;Wikibase;CIDOC-CRM;ISBD;EDM;UNIMARC;
Creator;dcterms:creator;P170 (creator); E39 Actor;Statement of responsibility;<edm:ProvidedCHO><dcterms:creator rdf:resource=#""/></edm:ProvidedCHO>;200 $f (Statement of responsibility);
Publisher;dce:publisher; P123 (publisher); ;Publisher;<edm:ProvidedCHO><dcterms:publisher>#</dcterms:publisher></edm:ProvidedCHO>;210 $b (Name of publisher);
Editor; dc:contributor; P98 (editor); E29 Actor; Statement of responsibility;<edm:Agent rdf:about=""#""></edm:Agent>; 205 $f (statement of responsability relative to the edition);
Commissioner;dc:contributor; P6241 (patron); E39 Actor;;<edm:Agent rdf:about="#"></edm:Agent>; 702 $a (role);
Attribution;;;;;;;
Institution;;;;;;;
;;;;;;;
Creation date;dcterms:created; P571 (inception); E65 Creation; ;<edm:ProvidedCHO><dcterms:created>#</dcterms:created></edm:ProvidedCHO>; 100 $a;
Publication date; dc:issued; P577 (publication date); E12 Production; Publication; ; 210 $d; 
Acquisition date; dc:date; P580 (start time); E8 Acquisition; ; <edm:Event><dcterms:date>2024-01-15</dcterms:date><edm:label>Acquisition</edm:label></edm:Event>; ;
Start of time-span; dc:startDate; P580 (start time); P82a begin of the begin; ; <edm:Event><dcterms:valid><rdf:Description><dcterms:startDate>#</dcterms:startDate></rdf:Description></dcterms:valid></edm:Event>;;
End of time-span; dc:endDate; P582 (end time); P82b end of the end; ; <edm:Event><dcterms:valid><rdf:Description><dcterms:endDate>#</dcterms:endDate></rdf:Description></dcterms:valid></edm:Event>; ;
;;;;;;;
Title;title;P1476 (title);P 102 has title (is title of);1.1 Title proper;edm:ProvidedCHO.dc:title;200 $a (Title proper);
Type;Type;P31 (instance of);P2 has type (is type of);0.1 Content form / 0.3 Media type ;edm:ProvidedCHO.dc:type / edm:ProvidedCHO.edm:type;105-140 (Coded data field);
Language;Language;P407 (language of work or name);P72 has language (is language of);2.1 Edition Statement / 7.1.2.2 Notes on language;edm:ProvidedCHO.dc:type / edm:ProvidedCHO.dc:language;101 $a;
Medium;Medium;P186 (made from material);P45 consists of (is incorporated in);0.1 Content form / 0.3 Media type ;edm:ProvidedCHO.dc:type / edm:ProvidedCHO.dcterms:medium;215 $a;
Style;Subject;P149 (architectural style);\;\;edm:ProvidedCHO.dc:type / edm:ProvidedCHO.dc:subject;\;
Dimensions;Extent;P2046 (area), P2048 (height), P2049 (width);P43 has dimension (is dimension of);5.3 Dimensions;edm:ProvidedCHO.dc:type / edm:ProvidedCHO.dcterms:extent;215 $d;
Material;Medium;P186 (made from material);P45 consists of (is incorporated in);5.1 Specific material designation and extent;edm:ProvidedCHO.dc:type / edm:ProvidedCHO.dcterms:medium;215 $a;
Page number;Format/Extent;P1104 (number of pages) ;\;5: Material description area;edm:ProvidedCHO.dc:type / edm:ProvidedCHO.dcterms:extent;215 $a;
Identifier;Identifier;Q6545185 (unique identifier);E42 identifier;8.1 Resource identifier;edm:ProvidedCHO.dc:type / edm:ProvidedCHO.dc:identifier;"""001""";
Projection;Format;Q186386 (map projection) ;E53 space;3.1 Mathematical data (Cartographic resources);edm:ProvidedCHO.dc:type / edm:ProvidedCHO.dc:format;120 $a/7-8;
Format;Format;Q82036085 (physical media format)  /  Q107124887 (digital media format);\;0.1 Content form / 0.3 Media type ;edm:ProvidedCHO.dc:type / edm:ProvidedCHO.dc:format;105-140 (Coded data field);
;;;;;;;
Place of Publication;dc:coverage.spatial;P291 (place of publication);Creation Place/Original Location;place of publication, production, and/or distribution;edm:Place;102 $a (Country of Publication);
Location;dc:LocationPeriodOrJurisdiction.location;P17 (Country), P276 (Location);P53 has former or current location;;edm:Place;356 $a Geographical Name, Associated Place;
Place of Production;dc:coverage.spatial;P17 (Country);Creation Place/Original Location;;edm:Place;102 $a (Country of Publication);
